Contiguous U.S. Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2023
Missing: -99
Date,Value,Anomaly
199302,31.14,-2.73
199303,41.79,-0.01
199304,49.91,-1.35
199305,60.89,0.48
199306,67.21,-1.58
199307,72.16,-1.67
199308,71.89,-0.45
199309,63.30,-1.87
199310,52.97,-1.24
199311,39.22,-2.78
199312,34.20,1.15
199401,29.34,-1.25
199402,31.87,-2.00
199403,44.51,2.71
199404,52.66,1.40
199405,60.67,0.26
199406,70.95,2.16
199407,73.62,-0.21
199408,72.21,-0.13
199409,65.55,0.38
199410,54.21,0.00
199411,42.57,0.57
199412,36.23,3.18
199501,33.08,2.49
199502,37.36,3.49
199503,43.34,1.54
199504,49.41,-1.85
199505,58.64,-1.77
199506,67.55,-1.24
199507,73.54,-0.29
199508,74.32,1.98
199509,64.69,-0.48
199510,54.45,0.24
199511,42.04,0.04
199512,33.42,0.37
199601,29.70,-0.89
199602,35.69,1.82
199603,39.02,-2.78
199604,50.65,-0.61
199605,60.98,0.57
199606,69.87,1.08
199607,73.63,-0.20
199608,72.43,0.09
199609,63.46,-1.71
199610,53.65,-0.56
199611,39.63,-2.37
199612,33.91,0.86
199701,29.95,-0.64
199702,36.05,2.18
199703,44.67,2.87
199704,47.91,-3.35
199705,59.40,-1.01
199706,68.31,-0.48
199707,73.18,-0.65
199708,71.74,-0.60
199709,66.42,1.25
199710,53.92,-0.29
199711,40.87,-1.13
199712,34.00,0.95
199801,34.99,4.40
199802,38.71,4.84
199803,41.34,-0.46
199804,51.06,-0.20
199805,62.47,2.06
199806,68.13,-0.66
199807,75.49,1.66
199808,74.03,1.69
199809,68.99,3.82
199810,55.13,0.92
199811,44.91,2.91
199812,35.55,2.50
199901,33.78,3.19
199902,39.49,5.62
199903,42.80,1.00
199904,51.55,0.29
199905,60.06,-0.35
199906,68.31,-0.48
199907,74.30,0.47
199908,72.91,0.57
199909,64.35,-0.82
199910,54.75,0.54
199911,48.11,6.11
199912,36.10,3.05
200001,33.57,2.98
200002,39.78,5.91
200003,46.04,4.24
200004,52.59,1.33
200005,63.14,2.73
200006,69.03,0.24
200007,73.87,0.04
200008,74.05,1.71
200009,65.57,0.40
200010,55.09,0.88
200011,38.03,-3.97
200012,28.44,-4.61
200101,31.35,0.76
200102,33.98,0.11
200103,41.49,-0.31
200104,53.08,1.82
200105,62.82,2.41
200106,69.24,0.45
200107,74.48,0.65
200108,74.30,1.96
200109,65.70,0.53
200110,54.37,0.16
200111,47.41,5.41
200112,36.12,3.07
200201,34.48,3.89
200202,36.39,2.52
200203,39.54,-2.26
200204,53.49,2.23
200205,59.29,-1.12
200206,70.86,2.07
200207,75.85,2.02
200208,72.86,0.52
200209,66.85,1.68
200210,51.84,-2.37
200211,41.97,-0.03
200212,35.08,2.03
200301,32.81,2.22
200302,32.79,-1.08
200303,43.30,1.50
200304,51.89,0.63
200305,60.98,0.57
200306,68.05,-0.74
200307,75.47,1.64
200308,74.66,2.32
200309,64.96,-0.21
200310,56.55,2.34
200311,42.35,0.35
200312,35.29,2.24
200401,30.34,-0.25
200402,33.57,-0.30
200403,47.41,5.61
200404,52.68,1.42
200405,61.92,1.51
200406,68.09,-0.70
200407,72.90,-0.93
200408,70.16,-2.18
200409,65.66,0.49
200410,55.36,1.15
200411,43.99,1.99
200412,35.06,2.01
200501,33.39,2.80
200502,37.94,4.07
200503,42.31,0.51
200504,52.27,1.01
200505,59.56,-0.85
200506,69.21,0.42
200507,75.31,1.48
200508,73.20,0.86
200509,67.37,2.20
200510,55.38,1.17
200511,45.01,3.01
200512,32.70,-0.35
200601,38.93,8.34
200602,34.83,0.96
200603,42.62,0.82
200604,55.26,4.00
200605,62.28,1.87
200606,70.75,1.96
200607,76.41,2.58
200608,73.40,1.06
200609,63.30,-1.87
200610,52.59,-1.62
200611,44.08,2.08
200612,36.57,3.52
200701,31.35,0.76
200702,32.41,-1.46
200703,47.66,5.86
200704,50.54,-0.72
200705,62.33,1.92
200706,69.87,1.08
200707,74.70,0.87
200708,74.64,2.30
200709,66.43,1.26
200710,56.68,2.47
200711,44.01,2.01
200712,33.22,0.17
200801,30.27,-0.32
200802,34.70,0.83
200803,41.86,0.06
200804,50.40,-0.86
200805,59.36,-1.05
200806,69.60,0.81
200807,74.08,0.25
200808,72.28,-0.06
200809,65.21,0.04
200810,53.98,-0.23
200811,43.92,1.92
200812,31.87,-1.18
200901,31.05,0.46
200902,36.77,2.90
200903,42.87,1.07
200904,50.92,-0.34
200905,61.65,1.24
200906,68.54,-0.25
200907,72.63,-1.20
200908,71.89,-0.45
200909,66.38,1.21
200910,50.50,-3.71
200911,45.84,3.84
200912,29.64,-3.41
201001,30.67,0.08
201002,31.80,-2.07
201003,43.57,1.77
201004,53.24,1.98
201005,59.88,-0.53
201006,70.48,1.69
201007,74.71,0.88
201008,74.05,1.71
201009,66.49,1.32
201010,56.14,1.93
201011,42.31,0.31
201012,32.47,-0.58
201101,29.71,-0.88
201102,33.04,-0.83
201103,43.07,1.27
201104,51.96,0.70
201105,59.13,-1.28
201106,69.82,1.03
201107,76.14,2.31
201108,75.00,2.66
201109,66.09,0.92
201110,55.09,0.88
201111,43.75,1.75
201112,35.40,2.35
201201,36.12,5.53
201202,37.51,3.64
201203,50.41,8.61
201204,54.68,3.42
201205,63.45,3.04
201206,70.54,1.75
201207,76.77,2.94
201208,73.80,1.46
201209,66.31,1.14
201210,53.89,-0.32
201211,44.01,2.01
201212,35.92,2.87
201301,32.25,1.66
201302,34.77,0.90
201303,40.91,-0.89
201304,49.68,-1.58
201305,60.85,0.44
201306,70.39,1.60
201307,74.21,0.38
201308,72.99,0.65
201309,66.96,1.79
201310,53.44,-0.77
201311,41.61,-0.39
201312,31.06,-1.99
201401,30.56,-0.03
201402,32.13,-1.74
201403,40.51,-1.29
201404,51.69,0.43
201405,61.27,0.86
201406,69.58,0.79
201407,73.29,-0.54
201408,72.25,-0.09
201409,66.20,1.03
201410,56.93,2.72
201411,39.25,-2.75
201412,36.81,3.76
201501,33.08,2.49
201502,32.99,-0.88
201503,45.39,3.59
201504,53.24,1.98
201505,60.84,0.43
201506,71.37,2.58
201507,73.92,0.09
201508,72.95,0.61
201509,68.54,3.37
201510,57.24,3.03
201511,44.60,2.60
201512,38.66,5.61
201601,32.22,1.63
201602,39.47,5.60
201603,47.50,5.70
201604,53.19,1.93
201605,60.33,-0.08
201606,71.76,2.97
201607,75.22,1.39
201608,73.53,1.19
201609,67.12,1.95
201610,57.72,3.51
201611,47.97,5.97
201612,32.95,-0.10
201701,33.57,2.98
201702,41.18,7.31
201703,46.15,4.35
201704,53.80,2.54
201705,60.57,0.16
201706,70.36,1.57
201707,75.70,1.87
201708,72.01,-0.33
201709,66.27,1.10
201710,55.69,1.48
201711,45.03,3.03
201712,34.29,1.24
201801,32.16,1.57
201802,35.51,1.64
201803,42.73,0.93
201804,49.03,-2.23
201805,65.52,5.11
201806,71.55,2.76
201807,75.45,1.62
201808,73.51,1.17
201809,67.53,2.36
201810,53.71,-0.50
201811,40.01,-1.99
201812,35.51,2.46
201901,32.56,1.97
201902,31.84,-2.03
201903,40.28,-1.52
201904,52.84,1.58
201905,59.49,-0.92
201906,68.72,-0.07
201907,74.62,0.79
201908,73.74,1.40
201909,68.43,3.26
201910,52.05,-2.16
201911,41.11,-0.89
201912,36.43,3.38
202001,35.55,4.96
202002,36.18,2.31
202003,46.08,4.28
202004,50.88,-0.38
202005,60.91,0.50
202006,70.29,1.50
202007,75.65,1.82
202008,74.71,2.37
202009,65.91,0.74
202010,54.28,0.07
202011,46.31,4.31
202012,35.71,2.66
202101,34.59,4.00
202102,30.61,-3.26
202103,45.52,3.72
202104,51.87,0.61
202105,60.35,-0.06
202106,72.59,3.80
202107,75.42,1.59
202108,73.98,1.64
202109,67.80,2.63
202110,56.97,2.76
202111,45.07,3.07
202112,39.34,6.29
202201,31.17,0.58
202202,33.66,-0.21
202203,44.10,2.30
202204,50.67,-0.59
202205,61.93,1.52
202206,70.81,2.02
202207,76.42,2.59
202208,74.61,2.27
202209,68.04,2.87
202210,55.20,0.99
202211,40.96,-1.04
202212,33.12,0.07
202301,35.15,4.56
202302,36.45,2.58
202303,40.62,-1.18
202304,51.35,0.09
202305,62.42,2.01
202306,69.03,0.24
202307,75.69,1.86
202308,74.37,2.03
202309,67.77,2.60
202310,56.08,1.87
202311,44.31,2.31
202312,39.97,6.92
